ID,LabelIdx,AreaName,Experiment,ObjectSlide,Cellline,Replicate,Staining,Condition,Section,NucMaskSum,Tuj1MaskSum,MAP2MaskSum,THMaskSum,Tuj1ByNuc,MAP2ByNuc,THByNuc,NucMaskHigh,NucMaskAlive,THFragmentation,SkelTH,Nodes,Links,THPercent,THByTuj1,THByMap2,THByNucAlive,Tuj1ByNucAlive,MAP2ByNucAlive,NucAliveByNuc,NucDeadByNuc
12_45,9,hMO3_TOX12_Rep1_Border_CTRL_Idx_9,TOX12,1811234,hMO3,1,181123,CTRL,Border,16198364,21358238,13963709,2864654,1.31854291,0.862044402,0.176848353,4583258,11615106,0.420762158,118445,7126,16699,20.02989537,0.134124079,0.205149935,0.246631757,1.83883281,1.202202459,0.717054265,0.282945735
16_63,9,hMO3_TOX16_Rep2_Border_6OHDA_Idx_9,TOX16,19011922,hMO3,2,190119,6OHDA,Border,15041874,31713546,22316084,1755969,2.108350728,1.483597323,0.116738712,6590992,8450882,0.545158827,94839,5862,12768,9.570459683,0.055369683,0.078686252,0.207785294,3.752690666,2.640681056,0.561823746,0.438176254
12_10,10,hMO1_TOX12_Rep2_Center_CTRL_Idx_10,TOX12,1811231,hMO1,2,181123,CTRL,Center,44174026,84756421,26984018,46769983,1.918693601,0.610857113,1.058766593,27912867,16261159,0.347161982,2588463,118566,265909,47.72182254,0.551816399,1.733247547,2.876177707,5.212200496,1.659415421,0.368115847,0.631884153
12_22,10,hMO2_TOX12_Rep1_Center_CTRL_Idx_10,TOX12,1811232,hMO2,1,181123,CTRL,Center,27129203,30777921,17470942,14405795,1.13449411,0.643990242,0.531006937,9864917,17264286,0.374886356,587328,33273,69503,42.59664478,0.468056143,0.824557428,0.8344275,1.782750877,1.011970145,0.636372768,0.363627232
16_23,10,hMO2_TOX16_Rep1_Center_CTRL_Idx_10,TOX16,18112322,hMO2,1,181123,CTRL,Center,26279480,34039856,30744169,14127462,1.295301734,1.169892593,0.537585295,17605694,8673786,0.385769716,594119,34935,73273,46.53341661,0.415027079,0.459516795,1.628753811,3.924451906,3.544492451,0.330059271,0.669940729
12_46,10,hMO3_TOX12_Rep1_Center_CTRL_Idx_10,TOX12,1811234,hMO3,1,181123,CTRL,Center,29090659,20781659,21165882,3090718,0.71437567,0.727583449,0.106244345,12546694,16543965,0.410956289,140992,7245,17956,8.81397238,0.148723353,0.146023586,0.186818456,1.256147423,1.279371783,0.568703686,0.431296314
12_11,11,hMO1_TOX12_Rep1_Border_6OHDA_Idx_11,TOX12,1811231,hMO1,1,181123,6OHDA,Border,26275165,29078938,15950148,14311094,1.106708102,0.607042734,0.544662384,15806825,10468340,0.383672415,607027,33744,71336,53.14043754,0.492146378,0.897238947,1.367083415,2.77779839,1.5236559,0.39841196,0.60158804
15_1,11,hMO1_TOX15_Rep2_Border_CTRL_Idx_11,TOX15,1811161,hMO1,2,181116,CTRL,Border,7252415,38308670,25572241,18295332,5.282194965,3.526031122,2.522653764,1276211,5976204,0.367533041,658888,37688,77238,78.15920398,0.477576799,0.71543718,3.061363367,6.410201191,4.279010723,0.824029513,0.175970487
16_11,11,hMO1_TOX16_Rep1_Center_CTRL_Idx_11,TOX16,18112321,hMO1,1,181123,CTRL,Center,38068566,37411665,30952391,21903086,0.982744267,0.813069528,0.575358841,25087570,12980996,0.393353384,874800,54514,111436,42.91012839,0.585461406,0.707637933,1.687319371,2.882033474,2.384438837,0.340989887,0.659010113
12_35,11,hMO2_TOX12_Rep2_Center_CTRL_Idx_11,TOX12,1811233,hMO2,2,181123,CTRL,Center,33464312,61955671,29158042,12826548,1.851395331,0.87131754,0.383290354,20970175,12494137,0.402438832,611494,33192,69109,27.29868646,0.207027828,0.439897439,1.026605359,4.958779546,2.333737976,0.373357056,0.626642944
12_47,11,hMO3_TOX12_Rep1_Border_CTRL_Idx_11,TOX12,1811234,hMO3,1,181123,CTRL,Border,20743250,51685484,26100276,5321762,2.491677244,1.258253938,0.256553915,9468886,11274364,0.381732967,229030,12168,29223,19.78984238,0.102964345,0.203896771,0.472023256,4.584336997,2.31501094,0.543519651,0.456480349
16_12,12,hMO1_TOX16_Rep1_Border_CTRL_Idx_12,TOX16,18112321,hMO1,1,181123,CTRL,Border,8789990,11254693,10571154,6283338,1.28039884,1.202635498,0.7148288,6497682,2292308,0.355957773,255312,15211,31159,52.5477707,0.558286041,0.594385249,2.741053122,4.909764744,4.611576629,0.26078619,0.73921381
12_24,12,hMO2_TOX12_Rep1_Center_CTRL_Idx_12,TOX12,1811232,hMO2,1,181123,CTRL,Center,5681051,12914673,5204480,3783391,2.273289397,0.916112177,0.665966737,433421,5247630,0.436445242,224802,7942,17428,41.34284959,0.292952907,0.726948898,0.720971372,2.461048702,0.99177724,0.923707603,0.076292397
12_36,12,hMO2_TOX12_Rep2_Border_CTRL_Idx_12,TOX12,1811233,hMO2,2,181123,CTRL,Border,7564875,12574022,8620709,3893307,1.662158595,1.139570581,0.514655827,4602681,2962194,0.40752476,205501,12185,25669,22.30215827,0.309631,0.451622599,1.314332215,4.244834066,2.910244569,0.391572101,0.608427899
16_56,12,hMO2_TOX16_Rep2_Center_CTRL_Idx_12,TOX16,19011922,hMO2,2,190119,CTRL,Center,39931730,44762585,34653743,24015594,1.120977854,0.867824735,0.601416317,23823727,16108003,0.422696145,990570,63116,129802,63.17073171,0.536510436,0.693015874,1.490910698,2.778903443,2.151337009,0.403388558,0.596611442
15_12,12,hMO3_TOX15_Rep2_Center_6OHDA_Idx_12,TOX15,1811164,hMO3,2,181116,6OHDA,Center,29702141,42245876,27033422,12839238,1.422317536,0.910150618,0.432266415,15355570,14346571,0.36022387,640680,30356,66490,33.15614618,0.303916955,0.474939429,0.894934267,2.944667126,1.884312426,0.483014709,0.516985291
16_38,12,hMO3_TOX16_Rep1_Center_CTRL_Idx_12,TOX16,18112323,hMO3,1,181123,CTRL,Center,29857347,32342818,29371846,11408148,1.083244871,0.983739312,0.382088469,17488089,12369258,0.404982386,514274,30867,65129,43.1732326,0.352725851,0.388404188,0.922298492,2.614774306,2.374584312,0.414278536,0.585721464
16_13,13,hMO1_TOX16_Rep1_Center_CTRL_Idx_13,TOX16,18112321,hMO1,1,181123,CTRL,Center,31720768,22054216,21220997,15052075,0.695261098,0.668993796,0.474517988,23118854,8601914,0.399468778,599651,36787,75048,48.42946887,0.682503291,0.709301029,1.749851835,2.56387311,2.467008738,0.271176095,0.728823905
12_25,13,hMO2_TOX12_Rep1_Border_CTRL_Idx_13,TOX12,1811232,hMO2,1,181123,CTRL,Border,5845330,22552635,13276975,6964869,3.858231272,2.271381599,1.191527082,1651949,4193381,0.37944059,330957,18178,38995,55.68693694,0.308827283,0.52458252,1.660919673,5.378150709,3.166174264,0.717389951,0.282610049
15_4,13,hMO2_TOX15_Rep2_Border_6OHDA_Idx_13,TOX15,1811162,hMO2,2,181116,6OHDA,Border,8695404,13495570,10913246,3387987,1.552034845,1.255059109,0.389629625,2877031,5818373,0.40563792,137552,8521,17824,22.57683215,0.25104438,0.310447231,0.582291132,2.319474877,1.875652523,0.669131992,0.330868008
16_26,13,hMO2_TOX16_Rep1_Center_CTRL_Idx_13,TOX16,18112322,hMO2,1,181123,CTRL,Center,20871535,28887921,28982314,12405767,1.384082244,1.388604815,0.594386901,12802051,8069484,0.367426295,547884,28888,61897,56.50154799,0.429444784,0.428046118,1.537368065,3.57989693,3.591594456,0.386626283,0.613373717
16_57,13,hMO2_TOX16_Rep2_Border_CTRL_Idx_13,TOX16,19011922,hMO2,2,190119,CTRL,Border,20028681,54043309,35472922,18084596,2.698295959,1.771106245,0.902934946,7878993,12149688,0.409843327,718252,47348,95279,52.86138194,0.334631545,0.509814106,1.488482338,4.448123195,2.919657032,0.606614484,0.393385516
